feature_name,feature_importance,sensor,agg,axis
tBodyAcc-energy()-X,0.041895140838411914,tBodyAcc,energy(),X
fBodyAcc-energy()-X,0.041704017071462575,fBodyAcc,energy(),X
fBodyAccMag-energy(),0.04077550276213585,fBodyAccMag,energy(),
fBodyAccMag-mean(),0.03748683453854122,fBodyAccMag,mean(),
tGravityAccMag-max(),0.03745218236152824,tGravityAccMag,max(),
fBodyAccMag-mad(),0.03162316464132616,fBodyAccMag,mad(),
tGravityAccMag-std(),0.03107017992547958,tGravityAccMag,std(),
fBodyAccMag-sma(),0.03086769760310008,fBodyAccMag,sma(),
"fBodyAcc-bandsEnergy()-1,24",0.02894160591476022,fBodyAcc,bandsEnergy(),"1,24"
fBodyAcc-mean()-X,0.025663751108280425,fBodyAcc,mean(),X
tBodyAccMag-std(),0.023438921890467306,tBodyAccMag,std(),
fBodyAcc-mad()-X,0.023369738405485733,fBodyAcc,mad(),X
tBodyAccMag-max(),0.021493169913682036,tBodyAccMag,max(),
tBodyAccJerk-max()-X,0.021112507716841995,tBodyAccJerk,max(),X
tBodyAcc-max()-X,0.019330873433233767,tBodyAcc,max(),X
tBodyAccJerk-std()-X,0.017477404671803705,tBodyAccJerk,std(),X
fBodyAccMag-std(),0.015596959406395763,fBodyAccMag,std(),
fBodyAccMag-max(),0.015479490093545859,fBodyAccMag,max(),
"fBodyAcc-bandsEnergy()-1,16",0.015187866097374584,fBodyAcc,bandsEnergy(),"1,16"
"fBodyAccJerk-bandsEnergy()-1,8",0.013859688912892857,fBodyAccJerk,bandsEnergy(),"1,8"
fBodyAccMag-entropy(),0.013783321654981591,fBodyAccMag,entropy(),
fBodyAcc-std()-X,0.01278152624957034,fBodyAcc,std(),X
fBodyAccMag-iqr(),0.012039227008180754,fBodyAccMag,iqr(),
"fBodyAcc-bandsEnergy()-1,8",0.011284340940476693,fBodyAcc,bandsEnergy(),"1,8"
fBodyAcc-max()-X,0.010160515425769515,fBodyAcc,max(),X
tBodyAccMag-mad(),0.009466593954141829,tBodyAccMag,mad(),
tGravityAccMag-mad(),0.009444535015873399,tGravityAccMag,mad(),
tBodyAccMag-sma(),0.009321611836744716,tBodyAccMag,sma(),
tBodyAcc-std()-X,0.009050901668290475,tBodyAcc,std(),X
tBodyAcc-mad()-X,0.008475507091999422,tBodyAcc,mad(),X
"fBodyAccJerk-bandsEnergy()-33,48",0.008399611866332361,fBodyAccJerk,bandsEnergy(),"33,48"
fBodyAccJerk-std()-X,0.008380703992617778,fBodyAccJerk,std(),X
"fBodyAccJerk-bandsEnergy()-1,16",0.006988474564763377,fBodyAccJerk,bandsEnergy(),"1,16"
tBodyAcc-entropy()-X,0.006975749780035532,tBodyAcc,entropy(),X
"tBodyGyro-correlation()-Y,Z",0.006426006113804809,tBodyGyro,correlation(),"Y,Z"
tBodyAccMag-energy(),0.00583719787814126,tBodyAccMag,energy(),
tGravityAccMag-energy(),0.005560127450980079,tGravityAccMag,energy(),
tBodyAcc-iqr()-X,0.005237713736241229,tBodyAcc,iqr(),X
fBodyAccJerk-energy()-X,0.005177843256670646,fBodyAccJerk,energy(),X
fBodyAccJerk-mean()-X,0.005061960122877495,fBodyAccJerk,mean(),X
tBodyAcc-sma(),0.005057690876905139,tBodyAcc,sma(),
fBodyBodyAccJerkMag-mean(),0.004991770333449717,fBodyBodyAccJerkMag,mean(),
tBodyAccJerk-energy()-X,0.004926825624357198,tBodyAccJerk,energy(),X
tBodyAccJerkMag-iqr(),0.004426676771583742,tBodyAccJerkMag,iqr(),
tGravityAcc-energy()-Y,0.0043608439111563636,tGravityAcc,energy(),Y
fBodyBodyAccJerkMag-entropy(),0.0043385654823858595,fBodyBodyAccJerkMag,entropy(),
"fBodyAccJerk-bandsEnergy()-33,40",0.004126663060425942,fBodyAccJerk,bandsEnergy(),"33,40"
"angle(Y,gravityMean)",0.004056629685843852,angle,Y,gravityMean
fBodyAcc-entropy()-X,0.003716473048312686,fBodyAcc,entropy(),X
"fBodyAcc-bandsEnergy()-25,48",0.0037095562028852513,fBodyAcc,bandsEnergy(),"25,48"
tBodyGyro-min()-X,0.0035952838611569347,tBodyGyro,min(),X
tGravityAcc-max()-Y,0.003142551102772094,tGravityAcc,max(),Y
tGravityAcc-mean()-Y,0.003134499248307212,tGravityAcc,mean(),Y
"angle(X,gravityMean)",0.003040005796599709,angle,X,gravityMean
"fBodyAccJerk-bandsEnergy()-49,64",0.002964897319295135,fBodyAccJerk,bandsEnergy(),"49,64"
tGravityAcc-min()-Y,0.0029483172933307575,tGravityAcc,min(),Y
fBodyBodyGyroJerkMag-energy(),0.002808565196162761,fBodyBodyGyroJerkMag,energy(),
"tGravityAcc-arCoeff()-Z,3",0.0026193503978184382,tGravityAcc,arCoeff(),"Z,3"
"fBodyAcc-bandsEnergy()-1,8.1",0.002584102264678576,fBodyAcc,bandsEnergy(),"1,8.1"
tGravityAcc-sma(),0.002503847529161263,tGravityAcc,sma(),
"tBodyAcc-correlation()-X,Y",0.0024729459450943737,tBodyAcc,correlation(),"X,Y"
fBodyAcc-std()-Y,0.0022626998777901092,fBodyAcc,std(),Y
tGravityAccMag-arCoeff()1,0.002170898490049389,tGravityAccMag,arCoeff()1,
"tGravityAcc-arCoeff()-Z,1",0.002164976845639632,tGravityAcc,arCoeff(),"Z,1"
fBodyGyro-kurtosis()-Z,0.0020991475301345,fBodyGyro,kurtosis(),Z
tBodyAccJerk-entropy()-X,0.0020964826962938396,tBodyAccJerk,entropy(),X
tGravityAcc-mean()-X,0.002050934057975143,tGravityAcc,mean(),X
tBodyAcc-std()-Y,0.0020134636659266104,tBodyAcc,std(),Y
fBodyAcc-kurtosis()-Y,0.0019267115158465588,fBodyAcc,kurtosis(),Y
"tGravityAcc-arCoeff()-Z,2",0.001884880589826145,tGravityAcc,arCoeff(),"Z,2"
fBodyGyro-max()-Z,0.0018075596926742912,fBodyGyro,max(),Z
tBodyAccJerk-max()-Z,0.0018002991650403867,tBodyAccJerk,max(),Z
"tGravityAcc-arCoeff()-Y,2",0.001733969325379875,tGravityAcc,arCoeff(),"Y,2"
tBodyAcc-energy()-Y,0.0016037969049959176,tBodyAcc,energy(),Y
"tGravityAcc-arCoeff()-X,1",0.0015429683140578201,tGravityAcc,arCoeff(),"X,1"
tGravityAcc-max()-X,0.001527597320522965,tGravityAcc,max(),X
tBodyAccJerkMag-mad(),0.0015273957439731263,tBodyAccJerkMag,mad(),
tBodyAccJerk-iqr()-X,0.0014737396151416813,tBodyAccJerk,iqr(),X
"tGravityAcc-arCoeff()-Z,4",0.0014617618433068013,tGravityAcc,arCoeff(),"Z,4"
tGravityAcc-energy()-X,0.0014570441262791384,tGravityAcc,energy(),X
fBodyAccMag-meanFreq(),0.001446587195851162,fBodyAccMag,meanFreq(),
fBodyGyro-max()-Y,0.0014207829415012246,fBodyGyro,max(),Y
fBodyGyro-skewness()-Z,0.001401430034809426,fBodyGyro,skewness(),Z
tBodyAccJerk-min()-X,0.0013997743603003153,tBodyAccJerk,min(),X
fBodyAcc-energy()-Y,0.0013934334728348654,fBodyAcc,energy(),Y
